nc,md,U,d,m,L,H,Nt,Dt,tf,ymax,time,y/d
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.030400000000000028,-5.687092149097729e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.03080000000000003,-5.656173099680811e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.03120000000000003,-5.71827240523328e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.03160000000000003,-5.650331467986464e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.03200000000000003,-5.505470170047119e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.032400000000000026,-5.420980122607882e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.032800000000000024,-5.390508034166307e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.03320000000000002,-5.331325566597612e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.03360000000000002,-5.230376957768546e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.034000000000000016,-5.089636824967974e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.034400000000000014,-5.038027192422678e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.03480000000000001,-5.036545312088332e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.03520000000000001,-4.953345636372478e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.03560000000000001,-4.9254859034906654e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.036000000000000004,-4.972307990276701e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.0364,-5.0527211977163804e-09
