list,n_ts,n_serie,ref,sim
1,6,1,4.7048247511924683e-07,1.8791820011888659e-06
1,6,1,4.756629068949675e-07,1.8757852310594496e-06
1,6,1,4.809107718939302e-07,1.8715102246772226e-06
1,6,1,4.86187320596038e-07,1.8663491938202575e-06
1,6,1,4.915688565637057e-07,1.8602947487688364e-06
1,6,1,4.969560511030852e-07,1.8533399047658809e-06
1,6,1,5.022943680054377e-07,1.8454780883144922e-06
1,6,1,5.073595135234945e-07,1.8367031433082944e-06
1,6,1,5.121716887759127e-07,1.8270093369903446e-06
1,6,1,5.170717458592528e-07,1.8163913657364246e-06
1,6,1,5.217648513574837e-07,1.8048443606585968e-06
1,6,1,5.261604601433854e-07,1.79236389302497e-06
1,6,1,5.30567261406543e-07,1.778945979491693e-06
1,6,1,5.347520872735335e-07,1.764587087143257e-06
1,6,1,5.385582667035793e-07,1.7492841383372711e-06
1,6,1,5.421548107750588e-07,1.7330345153499414e-06
1,6,1,5.456789704738295e-07,1.7158360648185634e-06
1,6,1,5.49005515683011e-07,1.6976871019774254e-06
1,6,1,5.519917784467764e-07,1.6785864146835894e-06
1,6,1,5.54749126487894e-07,1.6585332672291162e-06
1,6,1,5.574292759805574e-07,1.6375274039363697e-06
1,6,1,5.598601769194983e-07,1.6155690525331429e-06
1,6,1,5.620081713662797e-07,1.5926589273044262e-06
1,6,1,5.638858259128618e-07,1.5687982320177352e-06
1,6,1,5.65539231939399e-07,1.543988662619016e-06
1,6,1,5.671539130225626e-07,1.5182324096962296e-06
1,6,1,5.686830023323156e-07,1.4915321607078326e-06
1,6,1,5.702250242735148e-07,1.4638911019734605e-06
1,6,1,5.715842275843863e-07,1.4353129204242258e-06
1,6,1,5.725525238205525e-07,1.4058018051101516e-06
1,6,1,5.734521869183238e-07,1.375362448462363e-06
1,6,1,5.740698656923419e-07,1.3440000473077682e-06
1,6,1,5.742553720474067e-07,1.3117203036340712e-06
1,6,1,5.741742666789362e-07,1.278529425103075e-06
1,6,1,5.735556140458205e-07,1.2444341253103363e-06
1,6,1,5.725126427032463e-07,1.2094416237893548e-06
1,6,1,5.710607997835961e-07,1.173559645758603e-06
1,6,1,5.693025577616108e-07,1.136796421609799e-06
1,6,1,5.673400284510178e-07,1.099160686135971e-06
