list,n_ts,ref
1,1,-3.437133838603463e-07
1,1,-3.48326800957828e-07
1,1,-3.527440781056167e-07
1,1,-3.570777085923405e-07
1,1,-3.613194155184913e-07
1,1,-3.654902811515132e-07
1,1,-3.696231810562472e-07
1,1,-3.737001091252713e-07
1,1,-3.777008212409948e-07
1,1,-3.81536579819759e-07
1,1,-3.851856510788321e-07
1,1,-3.88696484622101e-07
1,1,-3.921994679788299e-07
1,1,-3.9565141027610644e-07
1,1,-3.989936749151794e-07
1,1,-4.022508254539927e-07
1,1,-4.054483927574859e-07
1,1,-4.0846737638036323e-07
1,1,-4.1124869225584747e-07
1,1,-4.136824679672396e-07
1,1,-4.158385479044102e-07
1,1,-4.177118557048151e-07
1,1,-4.193143938068857e-07
1,1,-4.207225136027676e-07
1,1,-4.218529557013331e-07
1,1,-4.227911332218893e-07
1,1,-4.234989160057319e-07
1,1,-4.23973780906422e-07
1,1,-4.241746194857018e-07
1,1,-4.240508521246886e-07
1,1,-4.2358973974663773e-07
1,1,-4.22930955509091e-07
1,1,-4.221000735114123e-07
1,1,-4.21131600565699e-07
1,1,-4.2004821569972713e-07
1,1,-4.1874690086326717e-07
1,1,-4.172635606061804e-07
1,1,-4.156946921386194e-07
1,1,-4.140405048774983e-07
1,1,-4.122183091291869e-07
1,1,-4.1023997256600965e-07
1,1,-4.081577440281273e-07
1,1,-4.060277977398843e-07
1,1,-4.0374957781377626e-07
1,1,-4.013423643329544e-07
1,1,-3.989142610302776e-07
1,1,-3.963738969389762e-07
1,1,-3.936902347979103e-07
1,1,-3.908872972108867e-07
1,1,-3.879359729238949e-07
1,1,-3.848433461924624e-07
1,1,-3.816493627181408e-07
1,1,-3.7838329004644573e-07
1,1,-3.750371951603238e-07
1,1,-3.7155603204521603e-07
1,1,-3.679572360700153e-07
1,1,-3.6431852905554745e-07
1,1,-3.60577470575341e-07
1,1,-3.566898703309039e-07
1,1,-3.5285988906134654e-07
1,1,-3.490359939590814e-07
1,1,-3.45047044968812e-07
1,1,-3.411409765766988e-07
1,1,-3.3719900734348655e-07
1,1,-3.33071406405692e-07
1,1,-3.287827228263706e-07
1,1,-3.2433965262670815e-07
1,1,-3.198978244139366e-07
1,1,-3.153837292167207e-07
1,1,-3.109009337538472e-07
1,1,-3.0628257984214054e-07
1,1,-3.014877085541755e-07
1,1,-2.9675300436620066e-07
1,1,-2.92010774186427e-07
1,1,-2.8717504549882525e-07
1,1,-2.822933463646369e-07
1,1,-2.773196776849151e-07
1,1,-2.722564975557892e-07
1,1,-2.673045099145863e-07
1,1,-2.622084705915405e-07
1,1,-2.569435587246945e-07
1,1,-2.517035482237712e-07
1,1,-2.464095402601736e-07
1,1,-2.411437097403332e-07
1,1,-2.359321270318776e-07
1,1,-2.3078657152328546e-07
1,1,-2.2570955789113362e-07
1,1,-2.2072169936245625e-07
1,1,-2.1592169525136187e-07
1,1,-2.1133766832399145e-07
1,1,-2.0691701537002505e-07
1,1,-2.0258347289163373e-07
1,1,-1.9836609055501739e-07
1,1,-1.943394308954536e-07
1,1,-1.904551801692359e-07
1,1,-1.86566771812388e-07
1,1,-1.826982200915393e-07
1,1,-1.7887324710253242e-07
1,1,-1.751359377786183e-07
1,1,-1.714558299845424e-07
1,1,-1.6778971677074405e-07
1,1,-1.6408688157083085e-07
1,1,-1.6039374065095364e-07
1,1,-1.5665246122125646e-07
1,1,-1.5288123247441918e-07
1,1,-1.490468242072876e-07
1,1,-1.451270850498592e-07
1,1,-1.4119996649966985e-07
1,1,-1.3716985492645857e-07
1,1,-1.3301764960631196e-07
1,1,-1.2867528146632482e-07
1,1,-1.2423510632619878e-07
1,1,-1.1983113153510638e-07
1,1,-1.154981403417115e-07
1,1,-1.1117525647891725e-07
1,1,-1.067688328325103e-07
1,1,-1.0239025586005619e-07
1,1,-9.81515343904241e-08
1,1,-9.391901450502343e-08
1,1,-8.971344648523278e-08
1,1,-8.567132589675444e-08
1,1,-8.164493054829447e-08
1,1,-7.767170803023212e-08
1,1,-7.394958560744248e-08
1,1,-7.044455868774814e-08
1,1,-6.705955692375302e-08
1,1,-6.380162620006097e-08
1,1,-6.066489574333979e-08
1,1,-5.758197312861866e-08
1,1,-5.463211187574125e-08
1,1,-5.1934091762469836e-08
1,1,-4.93588278985136e-08
1,1,-4.679511962437007e-08
1,1,-4.433265275491133e-08
1,1,-4.200662085603178e-08
1,1,-3.9812414220981644e-08
1,1,-3.7707017203640495e-08
1,1,-3.5654187448402546e-08
1,1,-3.3643814583276026e-08
1,1,-3.1680641780220384e-08
1,1,-2.994029556756273e-08
1,1,-2.8419579537461897e-08
1,1,-2.689614703488001e-08
1,1,-2.5431249248840785e-08
1,1,-2.4138803368129256e-08
1,1,-2.2959546549459327e-08
1,1,-2.176818586980732e-08
1,1,-2.0651843268033072e-08
1,1,-1.9689028314423293e-08
1,1,-1.9015444217558253e-08
1,1,-1.8543013102546173e-08
1,1,-1.8160434709292795e-08
1,1,-1.7926428358948087e-08
1,1,-1.7780026260844676e-08
1,1,-1.7744187070903113e-08
1,1,-1.7916159436949285e-08
1,1,-1.8250713284357183e-08
1,1,-1.874725191462115e-08
1,1,-1.9392785398090065e-08
1,1,-2.0029927470248454e-08
1,1,-2.0675219955995357e-08
1,1,-2.141187099041218e-08
1,1,-2.215933910613132e-08
1,1,-2.28656796209338e-08
1,1,-2.3649414746797532e-08
1,1,-2.4486520710268244e-08
1,1,-2.5320691474675013e-08
1,1,-2.63481440842079e-08
1,1,-2.7520062394029927e-08
1,1,-2.8814163564155956e-08
1,1,-3.02955325820791e-08
1,1,-3.206518443393606e-08
1,1,-3.423132130843388e-08
1,1,-3.668680725303141e-08
1,1,-3.936771567450814e-08
1,1,-4.230109563932985e-08
1,1,-4.5362548054878334e-08
1,1,-4.856667658757695e-08
1,1,-5.2120158935792375e-08
1,1,-5.5893632509079255e-08
1,1,-5.982921972661963e-08
1,1,-6.399596174630419e-08
1,1,-6.820773845284226e-08
1,1,-7.248552109609573e-08
1,1,-7.691571271658185e-08
1,1,-8.131434040639367e-08
1,1,-8.572953630718932e-08
1,1,-9.029666868890057e-08
1,1,-9.490181164920135e-08
1,1,-9.944951386385873e-08
1,1,-1.0407382837899045e-07
1,1,-1.088124805024729e-07
1,1,-1.1366500956922117e-07
1,1,-1.186103895341648e-07
1,1,-1.2354070816239666e-07
1,1,-1.284430345504991e-07
1,1,-1.3328718417894884e-07
1,1,-1.379902995650718e-07
1,1,-1.42619348549723e-07
1,1,-1.4715891026648336e-07
1,1,-1.5158593298424798e-07
1,1,-1.559518465919005e-07
1,1,-1.6019312241154528e-07
1,1,-1.6434489026974665e-07
1,1,-1.684724314798303e-07
1,1,-1.7247892231471507e-07
1,1,-1.764111602687589e-07
1,1,-1.803283779252077e-07
1,1,-1.8424274691928499e-07
1,1,-1.8812502302879544e-07
1,1,-1.917409322033474e-07
1,1,-1.9511294190787758e-07
1,1,-1.983444474845563e-07
1,1,-2.015866376440581e-07
1,1,-2.048590587583587e-07
1,1,-2.080374177852136e-07
1,1,-2.110697824028968e-07
1,1,-2.139002055878875e-07
1,1,-2.1665720445528355e-07
1,1,-2.193599110378815e-07
1,1,-2.2197897964789225e-07
1,1,-2.2454506549492585e-07
1,1,-2.2700564536044282e-07
1,1,-2.2932696947841058e-07
1,1,-2.3168055615857738e-07
1,1,-2.340136267735146e-07
1,1,-2.3619967867765985e-07
1,1,-2.383317805856576e-07
1,1,-2.4038016410404736e-07
1,1,-2.422559472577517e-07
1,1,-2.440676583314853e-07
1,1,-2.459352933608877e-07
1,1,-2.47903235131484e-07
1,1,-2.497439644553609e-07
1,1,-2.51333837725436e-07
1,1,-2.528979568662499e-07
1,1,-2.5435868574481254e-07
1,1,-2.556884871381943e-07
1,1,-2.57084044168268e-07
1,1,-2.584263001992244e-07
1,1,-2.596701565331958e-07
1,1,-2.609188962303699e-07
1,1,-2.621410806676222e-07
1,1,-2.633390603702791e-07
1,1,-2.6458290329129294e-07
1,1,-2.659038734680109e-07
1,1,-2.6727707583285894e-07
1,1,-2.686288552043813e-07
1,1,-2.698294440025599e-07
1,1,-2.7098577707808664e-07
1,1,-2.723293657472018e-07
1,1,-2.7370097198498544e-07
1,1,-2.7497735794641584e-07
1,1,-2.763523010544508e-07
1,1,-2.7789006971671184e-07
1,1,-2.795606656169384e-07
1,1,-2.8136428660783705e-07
1,1,-2.831161697938965e-07
1,1,-2.8481573341533325e-07
1,1,-2.866878079860989e-07
1,1,-2.886196158227316e-07
1,1,-2.9048691258150106e-07
1,1,-2.923049431362092e-07
1,1,-2.940254685371668e-07
1,1,-2.95652219219282e-07
1,1,-2.971730420827825e-07
1,1,-2.986090106776056e-07
1,1,-3.0001336575763257e-07
1,1,-3.013615880329447e-07
1,1,-3.0274758382591737e-07
1,1,-3.041928246150992e-07
1,1,-3.057450631927536e-07
1,1,-3.073688224392201e-07
1,1,-3.0911811724199e-07
1,1,-3.110574257368415e-07
1,1,-3.130194260538075e-07
1,1,-3.149853477421444e-07
1,1,-3.170866094673542e-07
1,1,-3.1925147629175696e-07
1,1,-3.214444117260644e-07
1,1,-3.238861508513172e-07
1,1,-3.2648991042778324e-07
1,1,-3.290956158671302e-07
1,1,-3.317871651069408e-07
1,1,-3.3470017855106e-07
1,1,-3.378127084116239e-07
1,1,-3.410116649084693e-07
1,1,-3.442879613469855e-07
1,1,-3.476632094181811e-07
1,1,-3.510326143057098e-07
1,1,-3.543268259175801e-07
1,1,-3.57771900770958e-07
1,1,-3.6134400238882454e-07
1,1,-3.647993413889138e-07
1,1,-3.6809239241818827e-07
1,1,-3.7140378694642445e-07
1,1,-3.746846889825826e-07
1,1,-3.7792747586470914e-07
1,1,-3.812144570726233e-07
1,1,-3.842974116871796e-07
1,1,-3.8717229464269753e-07
1,1,-3.898758161900058e-07
1,1,-3.92334940905278e-07
1,1,-3.945394329251017e-07
1,1,-3.965418340065931e-07
1,1,-3.983401024094332e-07
1,1,-3.9991982817979673e-07
1,1,-4.0141416696707844e-07
1,1,-4.028003985046709e-07
1,1,-4.0400361929005067e-07
1,1,-4.051144947105052e-07
1,1,-4.060918897546554e-07
1,1,-4.070167455232458e-07
1,1,-4.078750229454803e-07
1,1,-4.0849237013101646e-07
1,1,-4.089323585126594e-07
1,1,-4.091164000869805e-07
1,1,-4.089674537914934e-07
1,1,-4.085607347387056e-07
1,1,-4.079739352597055e-07
1,1,-4.070958908081602e-07
1,1,-4.058587722581969e-07
1,1,-4.042909473659145e-07
1,1,-4.024614625696313e-07
1,1,-4.004692223282201e-07
1,1,-3.981747588872618e-07
1,1,-3.9556182067688564e-07
1,1,-3.927962534487062e-07
1,1,-3.8999471101413037e-07
1,1,-3.871396790684377e-07
1,1,-3.8414520121902236e-07
1,1,-3.810736493088359e-07
1,1,-3.7797211984059677e-07
1,1,-3.747811736513525e-07
1,1,-3.714891115601449e-07
1,1,-3.681265071589258e-07
1,1,-3.646730109177181e-07
1,1,-3.612783246787021e-07
1,1,-3.578943953830523e-07
1,1,-3.544401168217697e-07
1,1,-3.51029767737514e-07
1,1,-3.475411769312163e-07
1,1,-3.439874510967517e-07
1,1,-3.403053149877408e-07
1,1,-3.364243879960874e-07
1,1,-3.324038690743421e-07
1,1,-3.282583638742289e-07
1,1,-3.240064334125669e-07
1,1,-3.1956471533189656e-07
1,1,-3.150950052610797e-07
1,1,-3.106241044672584e-07
1,1,-3.0596150546177094e-07
1,1,-3.0118846241559136e-07
1,1,-2.964293291169819e-07
1,1,-2.916205916710867e-07
1,1,-2.866400692744872e-07
1,1,-2.815680595905345e-07
1,1,-2.76488061225261e-07
1,1,-2.713919621520772e-07
1,1,-2.662936421274109e-07
1,1,-2.6117253208459665e-07
1,1,-2.559479564439977e-07
1,1,-2.505107743137867e-07
1,1,-2.448685248101601e-07
1,1,-2.391060497321071e-07
1,1,-2.3323897415123323e-07
1,1,-2.273569137463056e-07
1,1,-2.2152246342337505e-07
1,1,-2.1565401777419138e-07
1,1,-2.0975743876936894e-07
1,1,-2.039468631415671e-07
1,1,-1.9816941626560265e-07
1,1,-1.922870146061687e-07
1,1,-1.864873035742332e-07
1,1,-1.808121674386355e-07
1,1,-1.7511097416837329e-07
1,1,-1.6948489336937682e-07
1,1,-1.6394565604287236e-07
1,1,-1.5827979817314578e-07
1,1,-1.5255906738096552e-07
1,1,-1.4692611716268126e-07
1,1,-1.412137647462189e-07
1,1,-1.3541934325649354e-07
1,1,-1.2964638465119333e-07
1,1,-1.2389333461732434e-07
1,1,-1.1815062646114525e-07
1,1,-1.1236533601101781e-07
1,1,-1.064711173258397e-07
1,1,-1.0052007625992336e-07
1,1,-9.462481367175453e-08
1,1,-8.879934998105142e-08
1,1,-8.291870792936272e-08
1,1,-7.694864416351254e-08
1,1,-7.091791542929497e-08
1,1,-6.472766053805374e-08
1,1,-5.84150691366464e-08
1,1,-5.204448767175392e-08
1,1,-4.5681473411957206e-08
1,1,-3.929848650003218e-08
1,1,-3.2755082929398065e-08
1,1,-2.5957344215207533e-08
1,1,-1.9138198731346265e-08
1,1,-1.2406190422138771e-08
1,1,-5.587327952853466e-09
1,1,1.2154841234388526e-09
1,1,8.014894397040295e-09
1,1,1.4946027811426153e-08
1,1,2.194491056563953e-08
1,1,2.894939830371377e-08
1,1,3.601080643617171e-08
1,1,4.315419098242052e-08
1,1,5.0269676152349194e-08
1,1,5.7302363994724596e-08
1,1,6.437810261493939e-08
1,1,7.1435091153828e-08
1,1,7.844457716416348e-08
1,1,8.557677221009828e-08
1,1,9.279092557059918e-08
