list,n_ts,ref,sim
1,1,-1.218946286469037e-07,-4.4676816454376615e-09
1,1,-1.269830625202429e-07,-5.0097963172109885e-09
1,1,-1.3221948359224785e-07,-5.554715037081488e-09
1,1,-1.3747640403778626e-07,-6.102214437562344e-09
1,1,-1.4279215028495677e-07,-6.652068302824501e-09
1,1,-1.4822760318741084e-07,-7.204047665510362e-09
1,1,-1.5375719658522498e-07,-7.757920905625343e-09
1,1,-1.593978206251387e-07,-8.313453851471152e-09
1,1,-1.6507375295865848e-07,-8.870409882583389e-09
1,1,-1.7079559361026495e-07,-9.42855003463472e-09
1,1,-1.765346838815935e-07,-9.987633106263627e-09
1,1,-1.822467701824651e-07,-1.0547415767787425e-08
1,1,-1.8807733518175198e-07,-1.1107652671757003e-08
1,1,-1.9399671562626065e-07,-1.1668096565309438e-08
1,1,-1.9990236211489939e-07,-1.2228498404273432e-08
1,1,-2.057650558115756e-07,-1.2788607468981245e-08
1,1,-2.117320564760009e-07,-1.3348171481739596e-08
1,1,-2.1774351952061035e-07,-1.3906936725910782e-08
1,1,-2.2361300348523946e-07,-1.4464648166554095e-08
1,1,-2.293965098691684e-07,-1.5021049572576374e-08
1,1,-2.3512440468851337e-07,-1.5575883640339434e-08
1,1,-2.407566102682103e-07,-1.612889211867093e-08
1,1,-2.4632237480699786e-07,-1.6679815935224094e-08
1,1,-2.517388086241979e-07,-1.7228395324130644e-08
1,1,-2.570735090918869e-07,-1.7774369954890132e-08
1,1,-2.623489027619383e-07,-1.8317479062437844e-08
1,1,-2.67549600468572e-07,-1.8857461578332404e-08
1,1,-2.727710982290784e-07,-1.939405626300312e-08
1,1,-2.7793114864942284e-07,-1.9927001838996184e-08
1,1,-2.83141368819832e-07,-2.045603712515778e-08
1,1,-2.884219486615912e-07,-2.0980901171691278e-08
1,1,-2.936756372532235e-07,-2.1501333396024668e-08
1,1,-2.989392513038989e-07,-2.2017073719423577e-08
1,1,-3.0413918293320285e-07,-2.2527862704284282e-08
1,1,-3.092489241271841e-07,-2.303344169204029e-08
1,1,-3.143743915942974e-07,-2.353355294161523e-08
1,1,-3.194795144681976e-07,-2.402793976835408e-08
1,1,-3.245028080809655e-07,-2.451634668336386e-08
1,1,-3.294020534105606e-07,-2.4998519533194356e-08
1,1,-3.342127188432914e-07,-2.5474205639788615e-08
1,1,-3.389821677571553e-07,-2.59431539406324e-08
1,1,-3.437133838603463e-07,-2.6405115129031034e-08
1,1,-3.48326800957828e-07,-2.685984179444168e-08
1,1,-3.527440781056167e-07,-2.730708856278828e-08
