list,n_ts,ref,sim
1,6,5.710607997835961e-07,1.173809205548637e-06
1,6,5.693025577616108e-07,1.1370535989742218e-06
1,6,5.673400284510178e-07,1.0994254949680961e-06
1,6,5.649511944942802e-07,1.0609341270302464e-06
1,6,5.62380821870891e-07,1.021589230655263e-06
1,6,5.595377664073809e-07,9.814010417743538e-07
1,6,5.564907734917906e-07,9.403802949325797e-07
1,6,5.531739955946689e-07,8.98538221200462e-07
1,6,5.497265883578241e-07,8.558865458192405e-07
1,6,5.462411800521229e-07,8.124374855791868e-07
1,6,5.423839639808835e-07,7.682037459305083e-07
1,6,5.383015265650526e-07,7.231985178265052e-07
1,6,5.336248297059528e-07,6.77435474298779e-07
1,6,5.283841085715173e-07,6.309287667644164e-07
1,6,5.228482400353423e-07,5.836930210652112e-07
1,6,5.168284088220814e-07,5.357433332391158e-07
1,6,5.103867394529987e-07,4.870952650242515e-07
1,6,5.036700717488545e-07,4.377648390959398e-07
1,6,4.965189203105126e-07,3.877685340373529e-07
1,6,4.887581393264376e-07,3.371232790445194e-07
1,6,4.802424424109231e-07,2.858464483665569e-07
1,6,4.711055086421699e-07,2.3395585548213974e-07
1,6,4.616092342477989e-07,1.8146974701335083e-07
1,6,4.514446803462963e-07,1.2840679637820243e-07
1,6,4.407526848651697e-07,7.478609718325072e-08
1,6,4.2975389193816985e-07,2.0627156357867245e-08
1,6,4.181587356734046e-07,-3.40501129681293e-08
1,6,4.0576874020629577e-07,-8.92253988416384e-08
1,6,3.928103231008529e-07,-1.4487799811625837e-07
1,6,3.7942357515748454e-07,-2.009868243329597e-07
1,6,3.651690790367636e-07,-2.5753041584918926e-07
1,6,3.499096210967855e-07,-3.1448694421400355e-07
1,6,3.339452527438723e-07,-3.7183422278668866e-07
1,6,3.172843375369953e-07,-4.2954971559618616e-07
1,6,3.002280042479459e-07,-4.876105464385033e-07
1,6,2.826404535585223e-07,-5.459935082091474e-07
1,6,2.640666522926928e-07,-6.046750724674847e-07
1,6,2.447059538172185e-07,-6.636313992297864e-07
1,6,2.2423831276567373e-07,-7.228383469875848e-07
1,6,2.0287408193948003e-07,-7.822714829478257e-07
1,6,1.81086528033269e-07,-8.419060934911677e-07
1,6,1.583164020432809e-07,-9.017171948446378e-07
1,6,1.3459553859771265e-07,-9.616795439647227e-07
1,6,1.1016202043363556e-07,-1.021767649626836e-06
1,6,8.482799528390991e-08,-1.0819557837169691e-06
1,6,5.862220829094135e-08,-1.1422179927212014e-06
1,6,3.1252760478462526e-08,-1.2025281094086086e-06
1,6,2.679556223810722e-09,-1.2628597647029835e-06
1,6,-2.6682135460133503e-08,-1.3231863997386487e-06
1,6,-5.6795088807309744e-08,-1.3834812780955127e-06
1,6,-8.790758903212403e-08,-1.4437174982083957e-06
1,6,-1.1974704861902272e-07,-1.5038680059455223e-06
1,6,-1.5220947668022078e-07,-1.563905607350957e-06
1,6,-1.8557707294093506e-07,-1.6238029815456312e-06
1,6,-2.199566113649161e-07,-1.6835326937814975e-06
1,6,-2.554340924516292e-07,-1.743067208643211e-06
1,6,-2.9215386978043385e-07,-1.802378903391643e-06
1,6,-3.297710950246076e-07,-1.8614400814433969e-06
1,6,-3.6805926597142377e-07,-1.9202229859803874e-06
1,6,-4.0735000144194453e-07,-1.9786998136834436e-06
1,6,-4.476766992072493e-07,-2.0368427285837685e-06
1,6,-4.887847604305419e-07,-2.094623876025996e-06
1,6,-5.303167054453131e-07,-2.1520153967364747e-06
1,6,-5.726475428438716e-07,-2.208989440990305e-06
1,6,-6.159404262955614e-07,-2.265518182870559e-06
1,6,-6.600526958745063e-07,-2.3215738346130165e-06
1,6,-7.049837658444063e-07,-2.3771286610296484e-06
1,6,-7.504331398811237e-07,-2.4321549940040016e-06
1,6,-7.966655959389812e-07,-2.486625247051535e-06
1,6,-8.437809034394508e-07,-2.5405119299378845e-06
1,6,-8.914653552945235e-07,-2.5937876633479415e-06
1,6,-9.396680365076102e-07,-2.64642519359856e-06
1,6,-9.882859449830291e-07,-2.698397407387624e-06
1,6,-1.0374870884998098e-06,-2.749677346572138e-06
1,6,-1.087243434225323e-06,-2.8002382229679345e-06
1,6,-1.1374642245337107e-06,-2.8500534331635286e-06
1,6,-1.188453043736687e-06,-2.8990965733405823e-06
1,6,-1.2402399660586995e-06,-2.9473414540933887e-06
1,6,-1.2927648522382607e-06,-2.9947621152397328e-06
1,6,-1.3458203748982438e-06,-3.041332840615429e-06
1,6,-1.3992849303324391e-06,-3.0870281728447938e-06
1,6,-1.4534561908097498e-06,-3.131822928079272e-06
1,6,-1.5083536682508049e-06,-3.17569221069639e-06
