sim,ref_pos,ref_neg
-3.192528131878302e-06,6.6993266401377416e-06,-6.699324104542258e-06
-3.2407664019911297e-06,6.98537259438766e-06,-6.985370046868521e-06
-3.2877568455982803e-06,7.270034316975113e-06,-7.270031791763148e-06
-3.333465282806257e-06,7.553823913200112e-06,-7.553821379926281e-06
-3.377858102776025e-06,7.834327701600756e-06,-7.834325133245563e-06
-3.420902289860898e-06,8.109981772951803e-06,-8.109979160988642e-06
-3.4625654495569466e-06,8.380680051663453e-06,-8.3806773465989e-06
-3.502815834247448e-06,8.645658518806199e-06,-8.645655738937978e-06
-3.5416223687229193e-06,8.905096325437663e-06,-8.90509348988719e-06
-3.578954675458266e-06,9.157799552611862e-06,-9.157796652574052e-06
-3.6147830996286305e-06,9.404885438028189e-06,-9.404882533704352e-06
-3.6490787338455305e-06,9.64730618277021e-06,-9.647303270023971e-06
-3.681813442594966e-06,9.884784096231273e-06,-9.884781155637508e-06
-3.712959886359195e-06,1.0116907512507753e-05,-1.0116904541957848e-05
-3.7424915454040105e-06,1.0342937991700893e-05,-1.034293495941942e-05
-3.7703827432133842e-06,1.0561191385293402e-05,-1.0561188328921982e-05
-3.796608669553514e-06,1.077076973071572e-05,-1.077076665119864e-05
-3.821145403148365e-06,1.097217004846695e-05,-1.0972166926614954e-05
-3.843969933948987e-06,1.1165284075084811e-05,-1.116528091397666e-05
-3.865060184978999e-06,1.1350875113136266e-05,-1.1350871882830624e-05
-3.884395033738806e-06,1.1529471483299228e-05,-1.1529468191719165e-05
-3.9019543331512914e-06,1.17005429905487e-05,-1.1700539654220043e-05
-3.917718932031901e-06,1.186304606176006e-05,-1.1863042695732212e-05
-3.931670695066253e-06,1.2017084945845971e-05,-1.2017082790430372e-05
-3.9437925222786e-06,1.216340718514003e-05,-1.2163412818993604e-05
-3.954068367974715e-06,1.2302407898736252e-05,-1.230242937685735e-05
-3.9624832591429945e-06,1.2433426693384296e-05,-1.2433458602139924e-05
-3.969023313297834e-06,1.2555637099325796e-05,-1.2555672666033796e-05
-3.973675755749584e-06,1.2668170553402323e-05,-1.2668208322148492e-05
-3.976428936285676e-06,1.2770300115129976e-05,-1.2770354898052637e-05
-3.97727234524779e-06,1.2862100972666436e-05,-1.2862185665689117e-05
-3.97619662899024e-06,1.2944763643444164e-05,-1.2944912645078866e-05
-3.973193604705042e-06,1.3018892503120784e-05,-1.30191004499082e-05
-3.968256274599475e-06,1.3084015615806524e-05,-1.3084224360990151e-05
-3.961378839412265e-06,1.3138554995155256e-05,-1.3138796851231564e-05
-3.95255671125485e-06,1.3180996939125248e-05,-1.318135004496363e-05
-3.94178652576455e-06,1.3211073975318753e-05,-1.3211541018651282e-05
-3.929066153556836e-06,1.322888340448366e-05,-1.3229477845254285e-05
-3.914394710964225e-06,1.3234686121110655e-05,-1.3235509774524962e-05
-3.8977725700497534e-06,1.3228527786282356e-05,-1.322965824178889e-05
-3.879201367883336e-06,1.3209833559977488e-05,-1.3211191859344024e-05
-3.858684015069732e-06,1.3178339502108945e-05,-1.31796985035351e-05
-3.836224703517236e-06,1.3133961384691965e-05,-1.313529436559251e-05
-3.811828913436639e-06,1.3077101036703047e-05,-1.3078670638360211e-05
-3.7855034195604125e-06,1.3008624420673828e-05,-1.3010559360614074e-05
-3.757256296572497e-06,1.2927939870761742e-05,-1.293007941729522e-05
-3.7270969237395396e-06,1.2833898963727886e-05,-1.2836161116597776e-05
-3.6950359887348255e-06,1.272515293574411e-05,-1.2727584085569538e-05
-3.6610854906466437e-06,1.2600336553896476e-05,-1.2602851932926593e-05
-3.6252587421632528e-06,1.2459306367027127e-05,-1.2461825457851616e-05
-3.587570370927092e-06,1.2302871721679006e-05,-1.2305495917217932e-05
-3.5480363200513452e-06,1.21316852273165e-05,-1.2134573320706444e-05
-3.5066738477924463e-06,1.1946395035180711e-05,-1.1949601049606792e-05
-3.463501526372598e-06,1.1746618183801114e-05,-1.1750066762775403e-05
-3.4185392399468457e-06,1.153137429081414e-05,-1.1534939897636724e-05
-3.371808181709762e-06,1.1301516130754923e-05,-1.1305061442928862e-05
-3.323330850137284e-06,1.1056803013338825e-05,-1.1060491365372856e-05
-3.273131044359742e-06,1.07963422791066e-05,-1.0800536032872023e-05
-3.221233858662631e-06,1.0520564275416909e-05,-1.0525368137885974e-05
-3.167665676112186e-06,1.02296761109249e-05,-1.0234799588916084e-05
-3.112454161303334e-06,9.923520241179717e-06,-9.9287624486589e-06
-3.0556282522281217e-06,9.601864473872242e-06,-9.607260897362162e-06
-2.9972181512632237e-06,9.265000531601197e-06,-9.270543877146391e-06
-2.937255315275679e-06,8.914039133214418e-06,-8.91966944839724e-06
-2.8757724448465366e-06,8.549373538408522e-06,-8.555221954637355e-06
-2.812803472612594e-06,8.171375966705178e-06,-8.177665056024662e-06
-2.7483835507269987e-06,7.781065082894503e-06,-7.78788940761093e-06
-2.6825490374399663e-06,7.378507677869349e-06,-7.38605790533936e-06
-2.615337482801466e-06,6.963636364897886e-06,-6.971813180955306e-06
-2.5467876134882236e-06,6.537770081430205e-06,-6.546287446604704e-06
-2.4769393167579817e-06,6.101784786540325e-06,-6.110312648030237e-06
-2.4058336235344736e-06,5.655215786635312e-06,-5.66375543675507e-06
-2.3335126906271502e-06,5.198631015975312e-06,-5.207258245229766e-06
-2.2600197820902305e-06,4.7324662697382734e-06,-4.74123995563708e-06
-2.1853992497262363e-06,4.257577363193137e-06,-4.26678828070475e-06
-2.1096965127397e-06,3.775128450739988e-06,-3.7851003450336576e-06
-2.0329580365473223e-06,3.2850270144028737e-06,-3.2956676003039568e-06
-1.9552313107514154e-06,2.786022949033562e-06,-2.7974242666600977e-06
-1.8765648262840303e-06,2.2773646551008022e-06,-2.2893890929817005e-06
-1.7970080517297437e-06,1.760279432615613e-06,-1.7725656225188973e-06
-1.7166114088356451e-06,1.2363025149104312e-06,-1.2488545272898025e-06
-1.6354262472176443e-06,7.076966836940521e-07,-7.200563696864606e-07
-1.553504818272783e-06,1.7499706217296318e-07,-1.870059165321514e-07
-1.470900248307822e-06,3.516240480253131e-07,-3.634609011398926e-07
-1.387666510894936e-06,8.962332088472105e-07,-9.0832018457895e-07
-1.3038583984659414e-06,1.4464232632254302e-06,-1.4585848454010757e-06
-1.219531493157041e-06,2.0016731825903487e-06,-2.0134264351798407e-06
-1.1347421369166627e-06,2.561916089169937e-06,-2.5732622102325443e-06
-1.0495474008895293e-06,3.127788995079617e-06,-3.138219835536562e-06
-9.640050540906915e-07,3.6988823130934345e-06,-3.7073088810859975e-06
-8.781735313838108e-07,4.2726783003566985e-06,-4.278933230384217e-06
-7.921119007785665e-07,4.8473803251145934e-06,-4.851835372959626e-06
-7.058798300626309e-07,5.422637029164722e-06,-5.425675375329023e-06
-6.195375527842202e-07,5.99922193984126e-06,-6.001067150632916e-06
-5.331458336018051e-07,6.578782767610428e-06,-6.579239028961963e-06
-4.467659330181254e-07,7.162479323225421e-06,-7.160906474332892e-06
-3.6045957151621234e-07,7.75056890996437e-06,-7.74616618981259e-06
-2.7428889311568624e-07,8.340621785118207e-06,-8.3339099929069e-06
-1.8831642836814566e-07,8.930417925443866e-06,-8.922194382418023e-06
-1.0260505681101311e-07,9.51963622203976e-06,-9.51020541376992e-06
-1.721796889974863e-08,1.0107862454759358e-05,-1.00970795210809e-05
6.778137256112374e-08,1.069452166834385e-05,-1.0682246448700911e-05
1.5232927146719954e-07,1.1279373284209248e-05,-1.1265914767478612e-05
2.3636183792208705e-07,1.186266098404246e-05,-1.1848191474326028e-05
3.1981502818199475e-07,1.2444474926652204e-05,-1.2428485775627882e-05
4.0262468501449066e-07,1.302327018892014e-05,-1.3006134852933964e-05
4.847265784484137e-07,1.3597485096443802e-05,-1.3579633194021883e-05
5.660564468914292e-07,1.416718877305432e-05,-1.4147676648059962e-05
6.465500385912439e-07,1.4731465028595028e-05,-1.4710236238754326e-05
7.261431534160306e-07,1.528937212192477e-05,-1.526664167648438e-05
8.047716849291562e-07,1.5840775894665846e-05,-1.581601857169856e-05
