nc,md,U,d,m,L,H,Nt,Dt,tf,ymax,time,y/d
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.062399999999999844,-1.1679840430852518e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.06279999999999984,-1.3227601604359974e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.06319999999999984,-1.5021009365835177e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.06359999999999984,-1.6881994897791734e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.06399999999999983,-1.873485986490883e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.06439999999999983,-2.0709452611100478e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.06479999999999983,-2.281684154112252e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.06519999999999983,-2.495971818552714e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.06559999999999983,-2.7102227951626888e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.06599999999999982,-2.950371023177428e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.06639999999999982,-3.2047270268263126e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.06679999999999982,-3.4511795915968885e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.06719999999999982,-3.700773876383439e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.06759999999999981,-3.965696148666866e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.06799999999999981,-4.2375394248007045e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.06839999999999981,-4.5105656201533904e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.0687999999999998,-4.79592785053146e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.0691999999999998,-5.0846471851635485e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.0695999999999998,-5.368872576166945e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.0699999999999998,-5.661283471277984e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.0703999999999998,-5.967434026467011e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.0707999999999998,-6.280053987226652e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.07119999999999979,-6.605719625236722e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.07159999999999979,-6.953096790794212e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.07199999999999979,-7.299223411604126e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.07239999999999978,-7.640520478479209e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.07279999999999978,-7.988527177651556e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.07319999999999978,-8.347453069305385e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.07359999999999978,-8.716257132076791e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.07399999999999977,-9.096044058011031e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.07439999999999977,-9.49882953820919e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.07479999999999977,-9.905713222373671e-08
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.07519999999999977,-1.0319326566071053e-07
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.07559999999999976,-1.0764987998033723e-07
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.07599999999999976,-1.1229223661734385e-07
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.07639999999999976,-1.1701424903981334e-07
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.07679999999999976,-1.2189462864690367e-07
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.07719999999999975,-1.269830625202429e-07
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.07759999999999975,-1.3221948359224783e-07
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.07799999999999975,-1.3747640403778626e-07
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.07839999999999975,-1.4279215028495677e-07
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.07879999999999975,-1.4822760318741082e-07
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.07919999999999974,-1.5375719658522495e-07
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.07959999999999974,-1.593978206251387e-07
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.07999999999999974,-1.6507375295865848e-07
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.08039999999999974,-1.7079559361026492e-07
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.08079999999999973,-1.7653468388159348e-07
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.08119999999999973,-1.822467701824651e-07
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.08159999999999973,-1.8807733518175193e-07
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.08199999999999973,-1.9399671562626062e-07
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.08239999999999972,-1.9990236211489936e-07
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.08279999999999972,-2.057650558115756e-07
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.08319999999999972,-2.1173205647600088e-07
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.08359999999999972,-2.1774351952061032e-07
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.08399999999999971,-2.2361300348523944e-07
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.08439999999999971,-2.293965098691684e-07
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.08479999999999971,-2.3512440468851337e-07
1,1,0.9,0.025,1.57,1,500,18015,0.0004,7.206,7.68195e-08,0.0851999999999997,-2.407566102682103e-07
